URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/20120;03/0055;2;20/12/2024;"KEIL undercut anchor KH for stoneware facade panels";"Fastener of external wall claddings";"KEIL Befestigungstechnik GmbH";"Im Auel 42";51766;Engelskirchen;Germany;DIBt;"EAD 330030-00-0601";1997/0161/EC;2+
https://www.eota.eu/etassessments/8082;03/0058;1;18/06/2018;"weber.therm freestyle (with EPS),weber.therm prestige (with EPS),weber.therm family grob (with EPS),weber.therm ETICS (with EPS)";"External Thermal Composite Systems with rendering used as an EAD";"Saint-Gobain Weber";"Rue de Brie – B.P.84 - Servon";77253;"Brie-Compte-Robert cedex";France;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/5293;03/0059;1;02/05/2017;"Roof waterproofing COELASTIC EVO";"Liquid applied roof waterproofing kits used as an EAD";"KEMPER SYSTEM GmbH & Co. KG";"Holländische Straße 32 – 36";34246;Vellmar;Germany;DIBt;"ETAG 005 used as EAD";1998/0599/EC;3
https://www.eota.eu/etassessments/6944;04/0003;1;11/06/2018;"fischer Heavy-duty anchor TA M , TA M S , TA M T";"Mechanical fasteners for use in concrete";"fischerwerke GmbH & Co. KG 2";"Klaus-Fischer-Strasse 1";72178;Waldachtal;Germany;DIBt;"EAD 330232-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/7848;04/0004;1;12/06/2018;Icopal-PROFI-DICHT;"Liquid applied roof waterproofing kits used as an EAD";"Icopal GmbH";"Capeller Straße 150";59368;Werne;Germany;DIBt;"ETAG 004 used as EAD";1998/0599/EC
https://www.eota.eu/etassessments/7717;04/0005;1;09/01/2019;"maxit Dämmsystem PS/ - PS Silence, maxit Dämmsystem PS Speedy/ - PS Silence Speedy";"External Thermal Insulation Composite System (ETICS) with rendering used as an EAD";"Franken Maxit Mauermörtel GmbH & Co";"Azendorf 63";95359;Kasendorf;Germany;DIBt;"ETAG 004 used as EAD";1997/0556/EC;1
https://www.eota.eu/etassessments/6305;04/0009;1;19/12/2017;"webertherm PPE";"External Thermal Insulation Composite System used as an EAD";"Saint Gobain Weber France";"Rue de Brie - BP 84 - Servon 3";77253;"Brie - Comte - Robert cedex";France;CSTB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/5070;04/0010;1;23/01/2017;"SPIT FIX Z A4";"Mechanical fasteners for use in concrete";"SPIT 4";"150 Route de Lyon";26501;"BOURG-LES-VALENCE Cedex";France;CSTB;"EAD 330232-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/4269;04/0013;1;29/11/2016;"CNA Connector nails, PCR Connector nails and CSA Connector screws";"Nails and screws for use in nailing plates in timber structures";"Simpson Strong-Tie Int. Ltd";"For local branch addresses refer to www.strongtie.eu";;;"United Kingdom";ETA-DK;"EAD 130033-00-0603";1997/0638/EC
https://www.eota.eu/etassessments/7098;04/0014;2;27/06/2018;"PARISO PSE - M / PAREXTHERM EPS";"External Thermal Insulation Composite Systems with rendering used as an EAD";"PAREXGROUP 2";"19, Place de la Résistance";92446;"Issy Les Moulineaux Cedex";France;CSTB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
