URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/1439;09/0217;1;01/09/2014;"Drüeke & Springob Hold downs type 1311, 1312, 1313,1314, 4110, 4111, 4112, 4113, 4114, 4115, 4116, 4117,4118, 4119";"Three-dimensional nailing plate – hold downs";"Drüeke & Springob GmbH";"Bahnstrasse 19";57439;"Attendorn - Kraghammer";Germany;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;1
https://www.eota.eu/etassessments/1446;09/0218;1;01/09/2014;"Drüeke & Springob cleats (type 90, 130, 170, 210)";"Three-dimensional nailing plate used as an EAD";"Drüeke & Springob GmbH";"Bahnstrasse 19";57439;"Attendorn - Kraghammer";Germany;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;1
https://www.eota.eu/etassessments/1447;09/0219;1;01/09/2014;"Drüeke & SpringobPurlin Tie 170 right/leftPurlin Tie 210 right/leftPurlin Tie 250 right/leftPurlin Tie 290 right/leftPurlin Tie 330 right/leftPurlin Tie 370 right/left";"Three-dimensional nailing plate used as an EAD";"Drüeke & Springob GmbH";"Bahnstrasse 19";57439;"Attendorn - Kraghammer";Germany;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;1
https://www.eota.eu/etassessments/677;09/0244;1;23/08/2015;"TWOODS Vollholzelemente,TWOODS Solid Timber Elements";"Mechanically jointed solid wood slab element to be used as a structural element in buildings";"TWOODS GmbH";"Zwislenstrasse 27";CH-9056;Gais;Switzerland;Eurofins;"EAD 130002-00-0304";1997/0638/EC
https://www.eota.eu/etassessments/593;09/0273;1;27/04/2015;"Paslode Connector nails,Paslode Connector screws";"Nails and screws for use in nailing plates in timber structures";"ITW Construction Products Aps";"GI Banegaardsvej 25";DK-5500;Middelfart;Denmark;ETA-DK;"EAD 130033-00-0603";1997/0638/EC
https://www.eota.eu/etassessments/8867;09/0301;1;24/01/2019;"BB-beam connectors";"Three-dimensional nailing plates used as an EAD";"BB Stanz- und Umformtechnik GmbH";"Nordhäuser Strasse 42";D-06536;Berga;Germany;DIBt;"ETAG 015 used as EAD";1997/0638/EC;2+
https://www.eota.eu/etassessments/323;09/0311;3;13/03/2024;"AV Angle Brackets without rib (type 70921, 70923, 70924, 70925, 70926, 70929) and with rib (type 70931, 70932, 70933)";"Three dimensional nailing plates";"August Vormann GmbH & Co. K";"Heilenbecker Strasse 191 - 205";DE-58256;Ennepetal;Germany;ETA-DK;"EAD 130186-00-0603";1997/0638/EC;2+
https://www.eota.eu/etassessments/324;09/0312;5;13/03/2024;"AV Various Angle Brackets";"Three dimensional nailing plates";"August Vormann GmbH & Co. KG 2";"Heilenbecker Strasse 191 - 205";DE-58256;Ennepetal;Germany;ETA-DK;"EAD 130186-00-0603";1997/0638/EC;2+
https://www.eota.eu/etassessments/7570;09/0314;1;22/05/2014;"JOMA Cantilever brackets type 120, 140, 160, 180, 200 and 220";"Three Dimensional Nailing Plates used as an EAD";"Joma AB";Målskog;"SE-335 91";Gnosjö;Sweden;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;2+
https://www.eota.eu/etassessments/7571;09/0315;1;22/05/2014;"JOMA connectors type Fork anchor type 170, 320 and 390; Purlin anchor type 170, 210, 250, 290, 330, 370 and Purlin anchor Universal 170 and 210; Universal connector type 100, 130, 190";"Three Dimensional Nailing Plates used as an EAD";"Joma AB";Målskog;"SE-335 91";Gnosjö;Sweden;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;2+
